Model year,Make,Model,Vehicle class,CO2 emissions (g/km),CO2 rating,Smog rating,City (kWh/100 mi),Highway (kWh/100 mi),Range (mi),Recharge time (h),Type_Car,City (Gal/mi),Highway (Gal/mi)
2023,Acura,Integra,Full-size,167,6.0,7.0,,,,,Gasoline,0.012967756765148001,0.010341375648156001
2023,Acura,Integra A-SPEC,Full-size,172,6.0,7.0,,,,,Gasoline,0.013296054404772,0.01066967328778
2023,Acura,Integra A-SPEC,Full-size,181,6.0,6.0,,,,,Gasoline,0.014609244963268004,0.01066967328778
2023,Acura,MDX SH-AWD,Sport utility vehicle: Small,263,4.0,5.0,,,,,Gasoline,0.020682751296312002,0.015429989062328002
2023,Acura,MDX SH-AWD Type S,Sport utility vehicle: Standard,291,4.0,5.0,,,,,Gasoline,0.022652537134056003,0.018384667818944
2023,Acura,RDX SH-AWD,Sport utility vehicle: Small,232,5.0,6.0,,,,,Gasoline,0.018056370179320002,0.014116798503831999
2023,Acura,RDX SH-AWD A-SPEC,Sport utility vehicle: Small,242,5.0,6.0,,,,,Gasoline,0.018548816638756002,0.014937542602892002
2023,Acura,TLX SH-AWD,Compact,230,5.0,7.0,,,,,Gasoline,0.018384667818944,0.013131905584960002
2023,Acura,TLX SH-AWD A-SPEC,Compact,231,5.0,7.0,,,,,Gasoline,0.018548816638756002,0.013296054404772
2023,Acura,TLX Type S,Compact,256,5.0,5.0,,,,,Gasoline,0.020190304836876,0.015429989062328002
2023,Alfa Romeo,Giulia,Mid-size,205,5.0,5.0,,,,,Gasoline,0.016414881981200002,0.011818715026464002
2023,Alfa Romeo,Giulia AWD,Mid-size,217,5.0,5.0,,,,,Gasoline,0.01723562608026,0.012639459125524001
2023,Alfa Romeo,Giulia Quadrifoglio,Mid-size,271,4.0,3.0,,,,,Gasoline,0.022160090674620003,0.015265840242516003
2023,Alfa Romeo,Stelvio,Sport utility vehicle: Small,218,5.0,5.0,,,,,Gasoline,0.016907328440636003,0.013296054404772
2023,Alfa Romeo,Stelvio AWD,Sport utility vehicle: Small,226,5.0,5.0,,,,,Gasoline,0.017728072539696004,0.013624352044396002
2023,Alfa Romeo,Stelvio AWD Quadrifoglio,Sport utility vehicle: Small,288,4.0,3.0,,,,,Gasoline,0.022816685953868,0.016907328440636003
2023,Alfa Romeo,Tonale AWD,Sport utility vehicle: Small,231,5.0,7.0,,,,,Gasoline,0.018384667818944,0.013460203224584
2023,Aston Martin,DB11 V8,Minicompact,271,4.0,5.0,,,,,Gasoline,0.02133934657556,0.016086584341576
2023,Aston Martin,DB11 V12,Minicompact,324,3.0,3.0,,,,,Gasoline,0.026920406449168,0.017563923719884002
2023,Aston Martin,DBS V12,Minicompact,324,3.0,3.0,,,,,Gasoline,0.026920406449168,0.017563923719884002
2023,Aston Martin,DBX V8,Sport utility vehicle: Standard,343,3.0,5.0,,,,,Gasoline,0.027577001728416,0.019533709557628003
2023,Aston Martin,DBX707,Sport utility vehicle: Standard,329,3.0,5.0,,,,,Gasoline,0.025771364710484003,0.01969785837744
2023,Aston Martin,Vantage V8,Two-seater,270,4.0,5.0,,,,,Gasoline,0.021503495395372,0.015758286701952
2023,Aston Martin,V12 Vantage,Two-seater,337,3.0,3.0,,,,,Gasoline,0.028233597007663997,0.017728072539696004
2023,Audi,A3 40 TFSI quattro,Subcompact,183,6.0,7.0,,,,,Gasoline,0.014280947323644,0.011162119747216
2023,Audi,A4 Sedan 45 TFSI quattro,Compact,203,5.0,5.0,,,,,Gasoline,0.015922435521764002,0.012147012666088001
2023,Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,214,5.0,5.0,,,,,Gasoline,0.016579030801011998,0.012967756765148001
2023,Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,208,5.0,5.0,,,,,Gasoline,0.016250733161388,0.012475310305712
2023,Audi,A5 Coupé 45 TFSI quattro,Subcompact,203,5.0,5.0,,,,,Gasoline,0.015922435521764002,0.012147012666088001
2023,Audi,A5 Sportback 45 TFSI quattro,Mid-size,203,5.0,5.0,,,,,Gasoline,0.015922435521764002,0.012147012666088001
2023,Audi,A6 45 TFSI quattro,Mid-size,207,5.0,5.0,,,,,Gasoline,0.016414881981200002,0.012311161485900002
2023,Audi,A6 55 TFSI quattro,Mid-size,224,5.0,5.0,,,,,Gasoline,0.018220518999132,0.012803607945336
2023,Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,224,5.0,5.0,,,,,Gasoline,0.018220518999132,0.012803607945336
2023,Audi,A7 Sportback 55 TFSI quattro,Mid-size,224,5.0,5.0,,,,,Gasoline,0.018220518999132,0.012803607945336
2023,Audi,A8 L Sedan 55 TFSI quattro,Full-size,247,5.0,5.0,,,,,Gasoline,0.020518602476500003,0.013624352044396002
2023,Audi,Q3 40 TFSI quattro,Sport utility vehicle: Small,224,5.0,6.0,,,,,Gasoline,0.017892221359508003,0.013131905584960002
2023,Audi,Q3 45 TFSI quattro,Sport utility vehicle: Small,233,5.0,7.0,,,,,Gasoline,0.018384667818944,0.013788500864208
2023,Audi,Q5 40 TFSI quattro,Sport utility vehicle: Small,217,5.0,1.0,,,,,Gasoline,0.016743179620824,0.013460203224584
2023,Audi,Q5 45 TFSI quattro,Sport utility vehicle: Small,223,5.0,5.0,,,,,Gasoline,0.017399774900072003,0.013460203224584
2023,Audi,Q5 Sportback 45 TFSI quattro,Sport utility vehicle: Small,223,5.0,5.0,,,,,Gasoline,0.017399774900072003,0.013460203224584
2023,Audi,Q7 45 TFSI quattro,Sport utility vehicle: Standard,257,4.0,5.0,,,,,Gasoline,0.020026156017064003,0.015594137882140001
2023,Audi,Q7 55 TFSI quattro,Sport utility vehicle: Standard,281,4.0,5.0,,,,,Gasoline,0.021175197755748002,0.017892221359508003
2023,Audi,Q8 55 TFSI quattro,Sport utility vehicle: Standard,273,4.0,5.0,,,,,Gasoline,0.021011048935936003,0.017071477260448005
2023,Audi,R8 Coupé Performance,Two-seater,320,3.0,1.0,,,,,Gasoline,0.027248704088792004,0.016743179620824
2023,Audi,R8 Coupé Performance quattro,Two-seater,361,2.0,1.0,,,,,Gasoline,0.029054341106724,0.021011048935936003
2023,Audi,R8 Spyder Performance,Two-seater,320,3.0,1.0,,,,,Gasoline,0.027248704088792004,0.016743179620824
2023,Audi,R8 Spyder Performance quattro,Two-seater,361,2.0,1.0,,,,,Gasoline,0.029054341106724,0.021011048935936003
2023,Audi,R8 GT Coupé,Two-seater,328,3.0,1.0,,,,,Gasoline,0.026592108809544,0.018384667818944
2023,Audi,RS 5 Coupé quattro,Subcompact,266,4.0,5.0,,,,,Gasoline,0.021667644215184002,0.015101691422704
2023,Audi,RS 5 Sportback quattro,Mid-size,267,4.0,5.0,,,,,Gasoline,0.021667644215184002,0.015265840242516003
2023,Audi,RS 6 Avant quattro,Station wagon: Mid-size,328,3.0,3.0,,,,,Gasoline,0.026920406449168,0.018220518999132
2023,Audi,RS 7 Sportback quattro,Mid-size,328,3.0,3.0,,,,,Gasoline,0.026920406449168,0.018220518999132
2023,Audi,RS Q8 quattro,Sport utility vehicle: Standard,349,3.0,3.0,,,,,Gasoline,0.028726043467100008,0.019533709557628003
2023,Audi,S3 quattro,Subcompact,207,5.0,5.0,,,,,Gasoline,0.016743179620824,0.011982863846276
