Station Name,Street Address,City,State,ZIP,Station Phone,Latitude,Longitude,ID,EV Pricing Detail,EV Price
New York State Energy Research Development Authority - Headquarters,17 Columbia Cir,Albany,NY,12203,,42.702424,-73.857693,35562,Free,Free
James J Peters VA Medical Center,130 W Kingsbridge Rd,Bronx,NY,10468,,40.867403,-73.906405,41240,$0.13 per kWh,Cost
Thruway Nissan,79 Route 17K,Newburgh,NY,12550,845-562-1000,41.504105,-74.068916,44174,Free,Free
Thruway Nissan,79 Route 17K,Newburgh,NY,12550,845-562-1000,41.504105,-74.068916,44175,,
Country Club Imports,55 Oneida St,Oneonta,NY,13820,607-432-2800,42.451285,-75.100333,44176,Free,Free
Country Club Imports,55 Oneida St,Oneonta,NY,13820,607-432-2800,42.451285,-75.100333,44177,,
West-Herr Nissan,3580 Southwestern Blvd,Orchard Park,NY,14127,716-662-8008,42.784867,-78.76558,44178,Free,Free
West-Herr Nissan,3580 Southwestern Blvd,Orchard Park,NY,14127,716-662-8008,42.784867,-78.76558,44179,,
Nissan 112,730 Route 112,Patchogue,NY,11772,,40.792986,-73.00827,44180,Free,Free
Nissan 112,730 Route 112,Patchogue,NY,11772,,40.792986,-73.00827,44181,,
Huttig Nissan,4670 State Route 9,Plattsburgh,NY,12901,518-561-1210,44.667361,-73.444894,44182,Free,Free
Huttig Nissan,4670 State Route 9,Plattsburgh,NY,12901,518-561-1210,44.667361,-73.444894,44183,,
Nissan City - Port Chester,225 Boston Post Rd,Port Chester,NY,10573,914-937-1777,40.996358,-73.669405,44184,Free,Free
Nissan City - Port Chester,225 Boston Post Rd,Port Chester,NY,10573,914-937-1777,40.996358,-73.669405,44185,,
Riverhead Auto Mall,1800 Old Country Rd,Riverhead,NY,11901,631-369-0600,40.924758,-72.704752,44186,Free,Free
Riverhead Auto Mall,1800 Old Country Rd,Riverhead,NY,11901,631-369-0600,40.924758,-72.704752,44187,,
Dorschel Nissan,3817 W Henrietta Rd,Rochester,NY,14623,585-334-9440,43.077581,-77.641934,44188,Free,Free
Dorschel Nissan,3817 W Henrietta Rd,Rochester,NY,14623,585-334-9440,43.077581,-77.641934,44189,,
Nissan of Smithtown,535 Middle Country Rd,St. James,NY,11780,,40.859886,-73.162067,44190,,
Nissan of Smithtown,535 Middle Country Rd,St. James,NY,11780,,40.859886,-73.162067,44191,,
Lia Nissan,2233 Central Ave,Schenectady,NY,12304,518-579-2000,42.764517,-73.88522,44192,Free,Free
Lia Nissan,2233 Central Ave,Schenectady,NY,12304,518-579-2000,42.764517,-73.88522,44193,,
Legend Nissan,268 Jericho Turnpike,Syosset,NY,11791,516-496-8181,40.809865,-73.507761,44198,,
Gregoris Motors,555 W Merrick Rd,Valley Stream,NY,11580,516-825-8700,40.670497,-73.717206,44201,Free,Free
Gregoris Motors,555 W Merrick Rd,Valley Stream,NY,11580,516-825-8700,40.670497,-73.717206,44202,,
