Id_Auto,Brand,Model,FastCharge_miH,Efficiency_Whmi,RapidCharge,Range_Miles,PriceDollar
0,Tesla ,Model 3 Long Range Dual Motor,940,161,1,279.61695,59363.6
1,Volkswagen ,ID.3 Pure,250,167,1,167.77017,32100
2,Polestar ,2,620,181,1,248.5484,60390.8
3,BMW ,iX3 ,560,206,1,223.69356,72802.8
4,Honda ,e ,190,168,1,105.63307,35306.79
5,Lucid ,Air ,620,180,1,379.03631,112350
6,Volkswagen ,e-Golf ,220,168,1,118.06049,34133
7,Peugeot ,e-208 ,420,164,1,170.877025,31759.74
8,Tesla ,Model 3 Standard Range Plus,650,153,1,192.62501,49626.6
9,Audi ,Q4 e-tron ,540,193,1,248.5484,58850
10,Mercedes ,EQC 400 4MATIC,440,216,1,229.90727,74347.88
11,Nissan ,Leaf ,230,164,1,136.70162,31280.38
12,Hyundai ,Kona Electric 64 kWh,380,160,1,248.5484,43650.65
13,BMW ,i4 ,650,178,1,279.61695,69550
14,Hyundai ,IONIQ Electric,210,153,1,155.34275,36871.13
15,Volkswagen ,ID.3 Pro S,590,175,1,273.40324,43801.52
16,Porsche ,Taycan Turbo S,780,223,1,233.014125,193435.67
17,Volkswagen ,e-Up! ,170,166,1,121.167345,22920.47
18,MG ,ZS EV,260,193,1,136.70162,32100
19,Mini ,Cooper SE ,260,156,1,114.953635,33898.67
20,Opel ,Corsa-e ,420,164,1,170.877025,31186.22
21,Tesla ,Model Y Long Range Dual Motor,930,171,1,264.082675,62723.4
22,Skoda ,Enyaq iV 50,230,179,1,180.19759,37450
23,Audi ,e-tron GT ,850,197,1,264.082675,133750
24,Tesla ,Model 3 Long Range Performance,910,167,1,270.296385,65783.6
25,Volkswagen ,ID.4 ,560,183,1,260.97582,48150
26,Volkswagen ,ID.3 Pro,490,166,1,217.47985,35310
27,Volvo ,XC40 P8 AWD Recharge,470,200,1,233.014125,64667.59
28,BMW ,i3 120 Ah,270,161,1,146.022185,40678.19
29,Peugeot ,e-2008 SUV ,380,180,1,155.34275,36766.27
30,Audi ,e-tron 50 quattro,450,231,1,173.98388,72073.06
31,Kia ,e-Niro 64 kWh,350,173,1,229.90727,40772.35
32,Renault ,Zoe ZE50 R110,230,165,1,195.731865,33366.88
33,Tesla ,Cybertruck Tri Motor,710,267,1,466.02825,80250
34,Mazda ,MX-30 ,240,178,1,111.84678,34931.22
35,Nissan ,Leaf e+,390,172,1,201.945575,39843.59
36,Lexus ,UX 300e,190,193,1,167.77017,53500
37,CUPRA ,el-Born ,570,181,1,264.082675,48150
38,Renault ,Zoe ZE50 R135,230,168,1,192.62501,35452.31
39,Mercedes ,EQA ,440,171,1,217.47985,48150
40,Tesla ,Model S Long Range,560,184,1,320.006065,85589.3
41,Hyundai ,Kona Electric 39 kWh,210,154,1,158.449605,36348.97
42,Audi ,e-tron Sportback 55 quattro,610,228,1,236.12098,87353.73
43,Skoda ,CITIGOe iV ,170,166,1,121.167345,26251.38
44,SEAT ,Mii Electric ,170,166,1,121.167345,21538.03
45,Kia ,e-Soul 64 kWh,340,175,1,226.800415,39415.59
46,Opel ,Ampera-e ,210,173,1,208.159285,44839.42
47,Porsche ,Taycan 4S,730,195,1,226.800415,110151.15
48,Lightyear ,One ,540,104,1,357.288325,159430
49,Aiways ,U5 ,350,188,1,208.159285,38580.99
50,Audi ,e-tron 55 quattro,590,237,1,226.800415,85006.15
51,Tesla ,Roadster ,920,206,1,602.72987,230050
52,Opel ,Mokka-e ,390,176,1,158.449605,37450
53,Skoda ,Enyaq iV 80,560,183,1,260.97582,42800
54,Tesla ,Model X Long Range,490,211,1,279.61695,92009.3
55,Honda ,e Advance,190,168,1,105.63307,38435.47
56,DS ,3 Crossback E-Tense,380,180,1,155.34275,40041.54
57,Renault ,Twingo ZE,456.7346939,164,0,80.77823,26525.3
58,Citroen ,e-C4 ,380,180,1,155.34275,42800
59,Tesla ,Model S Performance,550,188,1,313.792355,103779.3
60,Renault ,Zoe ZE40 R110,230,161,1,158.449605,31280.38
61,Tesla ,Model Y Long Range Performance,900,177,1,254.76211,70213.4
62,Nissan ,Ariya 87kWh,520,198,1,273.40324,53500
63,Jaguar ,I-Pace ,340,232,1,226.800415,80625.57
64,Ford ,Mustang Mach-E ER RWD,430,200,1,279.61695,58288.25
65,Porsche ,Taycan 4S Plus,890,197,1,264.082675,116953.14
66,Nissan ,e-NV200 Evalia ,190,200,1,118.06049,35573.22
67,Tesla ,Cybertruck Dual Motor,710,261,1,285.83066,58850
68,Renault ,Kangoo Maxi ZE 33,456.7346939,194,0,99.41936,40660
69,Ford ,Mustang Mach-E ER AWD,410,209,1,267.18953,67303
70,BMW ,i3s 120 Ah,260,165,1,142.91533,44432.82
71,Skoda ,Enyaq iV 80X,540,193,1,248.5484,48150
72,Porsche ,Taycan Cross Turismo ,770,217,1,239.227835,160500
