,Year,Manufacturer,Model,CO2 (p/mile),Miles per gallon (mpg),ef_x_comb,comb_x_year,Fuel,score_ghg,ef_x_comb_city,youSaveSpend,Alternative Fuel,createdOn,modifiedOn
562,2019,Jeep,Cherokee 4WD,400.0,22.0,4.0,2400.0,Regular Gasoline,4.0,24.2,-2500.0,No,24-01-2018,12-07-2021
563,2019,Jeep,Cherokee 4WD Active Drive II,416.0,21.0,4.0,2550.0,Regular Gasoline,4.0,23.1,-3250.0,No,24-01-2018,12-07-2021
568,2019,Infiniti,QX50 AWD,340.0,26.0,5.0,2500.0,Premium Gasoline,5.0,30.2532,-3000.0,No,19-03-2018,19-11-2018
569,2019,Jeep,Cherokee FWD,352.0,25.0,5.0,2100.0,Regular Gasoline,5.0,27.7499,-1000.0,No,19-02-2018,26-03-2018
570,2019,Jeep,Cherokee 4WD,369.0,24.0,5.0,2200.0,Regular Gasoline,5.0,26.7,-1500.0,No,19-02-2018,26-02-2019
571,2019,Jeep,Cherokee 4WD Active Drive II,387.0,23.0,5.0,2300.0,Regular Gasoline,5.0,25.7996,-2000.0,No,19-02-2018,26-02-2019
576,2019,Genesis,G70 RWD,410.0,22.0,4.0,2950.0,Premium Gasoline,4.0,23.1,-5250.0,No,02-03-2018,03-12-2018
578,2019,Honda,Ridgeline FWD,410.0,22.0,4.0,2400.0,Regular Gasoline,4.0,23.5,-2500.0,No,12-03-2018,25-07-2018
580,2019,Honda,Ridgeline AWD,424.0,21.0,4.0,2550.0,Regular Gasoline,4.0,23.0499,-3250.0,No,12-03-2018,25-07-2018
585,2019,Chevrolet,Corvette ZR1,613.0,15.0,2.0,4350.0,Premium Gasoline,2.0,14.7,-12250.0,No,04-04-2018,26-06-2019
586,2019,MINI,Cooper Convertible,297.0,30.0,7.0,2200.0,Premium Gasoline,7.0,34.9132,-1500.0,No,04-04-2018,03-10-2018
587,2019,BMW,430i Convertible,324.0,27.0,6.0,2400.0,Premium Gasoline,6.0,30.2926,-2500.0,No,04-04-2018,10-08-2018
589,2019,MINI,Cooper S Hardtop 2 door,316.0,28.0,6.0,2350.0,Premium Gasoline,6.0,32.8547,-2250.0,No,04-04-2018,10-08-2018
590,2019,MINI,John Cooper Works Hardtop,338.0,26.0,5.0,2500.0,Premium Gasoline,5.0,29.2163,-3000.0,No,04-04-2018,03-10-2018
591,2019,BMW,430i xDrive Gran Coupe,331.0,27.0,6.0,2400.0,Premium Gasoline,6.0,29.8277,-2500.0,No,04-04-2018,10-08-2018
592,2019,BMW,440i xDrive Gran Coupe,367.0,24.0,5.0,2700.0,Premium Gasoline,5.0,26.0363,-4000.0,No,04-04-2018,10-08-2018
594,2019,BMW,Alpina B6 xDrive Gran Coupe,448.0,20.0,4.0,3250.0,Premium Gasoline,4.0,21.321,-6750.0,No,04-04-2018,25-04-2018
595,2019,BMW,530i,324.0,27.0,6.0,2400.0,Premium Gasoline,6.0,30.2926,-2500.0,No,04-04-2018,21-09-2018
596,2019,MINI,Cooper Clubman,321.0,28.0,6.0,2350.0,Premium Gasoline,6.0,31.3792,-2250.0,No,04-04-2018,10-08-2018
598,2019,MINI,Cooper Countryman,321.0,28.0,6.0,2350.0,Premium Gasoline,6.0,31.3792,-2250.0,No,04-04-2018,10-08-2018
599,2019,MINI,Cooper Countryman All4,347.0,25.0,5.0,2600.0,Premium Gasoline,5.0,29.2191,-3500.0,No,04-04-2018,10-08-2018
600,2019,MINI,Cooper S Countryman,332.0,27.0,6.0,2400.0,Premium Gasoline,6.0,29.9291,-2500.0,No,04-04-2018,10-08-2018
601,2019,MINI,Cooper S Clubman All4,345.0,26.0,5.0,2500.0,Premium Gasoline,5.0,28.7525,-3000.0,No,04-04-2018,10-08-2018
602,2019,MINI,John Cooper Works Clubman All4,345.0,26.0,5.0,2500.0,Premium Gasoline,5.0,28.7525,-3000.0,No,04-04-2018,03-10-2018
603,2019,MINI,JCW Countryman All4,367.0,24.0,5.0,2700.0,Premium Gasoline,5.0,26.3628,-4000.0,No,04-04-2018,03-10-2018
604,2019,BMW,750i xDrive,448.0,20.0,4.0,3250.0,Premium Gasoline,4.0,21.321,-6750.0,No,04-04-2018,10-08-2018
605,2019,BMW,Alpina B7 xDrive,448.0,20.0,4.0,3250.0,Premium Gasoline,4.0,21.321,-6750.0,No,04-04-2018,25-04-2018
606,2019,Genesis,G90 RWD,482.0,19.0,3.0,3450.0,Premium Gasoline,3.0,19.5,-7750.0,No,04-04-2018,03-12-2018
607,2019,Jaguar,XE,312.0,28.0,6.0,2350.0,Premium Gasoline,6.0,32.5,-2250.0,No,10-04-2018,03-12-2018
