Borough,Latitude,Longitude,Year,Day,Hour,Engine Sound
1,40.72951,-73.99388,2019,4,8,Low
1,40.72951,-73.99388,2019,4,8,High
1,40.72951,-73.99388,2019,1,20,Low
1,40.72951,-73.99388,2019,1,20,High
1,40.72951,-73.99388,2019,1,20,Medium
1,40.72951,-73.99388,2019,6,11,High
1,40.72951,-73.99388,2019,1,9,Low
1,40.72951,-73.99388,2019,1,9,High
1,40.72951,-73.99388,2019,1,9,Medium
1,40.72951,-73.99388,2019,0,13,Low
1,40.72951,-73.99388,2019,0,13,Medium
1,40.72951,-73.99388,2019,5,15,Low
1,40.72951,-73.99388,2019,5,15,High
1,40.72951,-73.99388,2019,5,15,Medium
1,40.72951,-73.99388,2019,6,18,Low
1,40.72951,-73.99388,2019,6,18,High
1,40.72951,-73.99388,2019,6,18,Medium
1,40.72951,-73.99388,2019,0,12,Low
1,40.72951,-73.99388,2019,0,12,High
1,40.72951,-73.99388,2019,0,12,Medium
1,40.72951,-73.99388,2019,0,19,Low
1,40.72951,-73.99388,2019,0,19,High
1,40.72951,-73.99388,2019,5,20,Low
1,40.72951,-73.99388,2019,5,20,High
1,40.72951,-73.99388,2019,5,20,Medium
1,40.72951,-73.99388,2019,0,15,Low
1,40.72951,-73.99388,2019,0,15,High
1,40.72951,-73.99388,2019,0,15,Medium
1,40.72951,-73.99388,2019,6,10,High
1,40.72951,-73.99388,2019,6,10,Medium
1,40.72951,-73.99388,2019,5,8,Low
1,40.72951,-73.99388,2019,5,8,High
1,40.72951,-73.99388,2019,5,8,Medium
1,40.72951,-73.99388,2019,4,20,High
1,40.72951,-73.99388,2019,4,20,Medium
1,40.72951,-73.99388,2019,0,8,Low
1,40.72951,-73.99388,2019,0,8,High
1,40.73033,-73.9987,2019,3,19,Low
1,40.73033,-73.9987,2019,3,19,High
1,40.73033,-73.9987,2019,3,19,Medium
1,40.73033,-73.9987,2019,0,13,Low
1,40.73033,-73.9987,2019,0,13,Medium
1,40.73033,-73.9987,2019,3,14,Low
1,40.73033,-73.9987,2019,3,14,Medium
1,40.73033,-73.9987,2019,2,19,Low
1,40.73033,-73.9987,2019,2,19,High
1,40.73033,-73.9987,2019,2,19,Medium
1,40.73033,-73.9987,2019,3,18,Low
1,40.73033,-73.9987,2019,3,18,High
1,40.73033,-73.9987,2019,3,18,Medium
1,40.73033,-73.9987,2019,3,12,Low
1,40.73033,-73.9987,2019,3,12,Medium
1,40.73033,-73.9987,2019,1,17,Low
1,40.73033,-73.9987,2019,1,17,Medium
1,40.73033,-73.9987,2019,3,20,Low
1,40.73033,-73.9987,2019,3,20,High
1,40.73033,-73.9987,2019,3,20,Medium
1,40.73033,-73.9987,2019,4,11,Low
1,40.73033,-73.9987,2019,4,11,Medium
1,40.73033,-73.9987,2019,6,17,Low
1,40.73033,-73.9987,2019,6,17,Medium
1,40.73033,-73.9987,2019,2,12,Low
1,40.73033,-73.9987,2019,2,12,High
1,40.73033,-73.9987,2019,2,12,Medium
1,40.73033,-73.9987,2019,2,20,Low
1,40.73033,-73.9987,2019,2,20,Medium
1,40.73033,-73.9987,2019,6,20,Low
