Hour,PULocationID,Dayofweek,Demanda
0,43,0,0.6
0,43,1,1.06
0,43,2,1.36
0,43,3,1.95
0,43,4,2.7
0,43,5,2.87
0,43,6,3.17
0,48,0,10.01
0,48,1,9.84
0,48,2,13.71
0,48,3,17.11
0,48,4,19.71
0,48,5,31.44
0,48,6,35.55
0,68,0,8.12
0,68,1,6.95
0,68,2,9.23
0,68,3,11.98
0,68,4,13.05
0,68,5,21.52
0,68,6,23.18
0,79,0,8.41
0,79,1,7.99
0,79,2,14.81
0,79,3,17.22
0,79,4,27.09
0,79,5,69.53
0,79,6,72.43
0,90,0,3.98
0,90,1,4.07
0,90,2,6.56
0,90,3,8.42
0,90,4,10.6
0,90,5,19.29
0,90,6,19.73
0,107,0,3.2
0,107,1,4.05
0,107,2,6.32
0,107,3,8.64
0,107,4,11.95
0,107,5,23.38
0,107,6,24.36
0,113,0,2.36
0,113,1,2.61
0,113,2,4.26
0,113,3,5.27
0,113,4,8.2
0,113,5,16.42
0,113,6,16.46
0,132,0,50.33
0,132,1,48.28
0,132,2,35.61
0,132,3,34.25
0,132,4,33.4
0,132,5,33.02
0,132,6,35.44
0,137,0,2.26
0,137,1,2.23
0,137,2,3.7
0,137,3,3.81
0,137,4,5.12
0,137,5,8.71
0,137,6,9.71
0,138,0,24.05
0,138,1,17.29
0,138,2,9.03
0,138,3,8.97
0,138,4,12.52
0,138,5,11.18
0,138,6,6.02
0,141,0,2.71
0,141,1,3.09
0,141,2,4.46
0,141,3,5.62
0,141,4,6.19
0,141,5,11.5
0,141,6,12.58
0,142,0,3.92
0,142,1,5.39
0,142,2,8.25
0,142,3,8.64
0,142,4,8.75
0,142,5,15.77
0,142,6,15.8
0,143,0,0.58
0,143,1,0.57
0,143,2,0.74
0,143,3,0.88
0,143,4,1.21
0,143,5,2.78
0,143,6,2.71
0,144,0,2.13
0,144,1,2.07
0,144,2,5.4
0,144,3,6.81
0,144,4,10.94
0,144,5,19.19
0,144,6,19.3
0,151,0,0.56
0,151,1,0.64
0,151,2,0.62
0,151,3,0.85
0,151,4,0.64
0,151,5,1.67
0,151,6,1.86
0,161,0,3.97
0,161,1,7.65
0,161,2,10.99
0,161,3,15.11
0,161,4,15.67
0,161,5,16.2
0,161,6,17.19
0,162,0,5.39
0,162,1,5.98
0,162,2,8.11
0,162,3,10.56
0,162,4,10.81
0,162,5,11.7
0,162,6,14.79
0,163,0,3.19
0,163,1,5.18
0,163,2,8.13
0,163,3,10.24
0,163,4,11.06
0,163,5,12.61
0,163,6,15.1
0,164,0,5.55
0,164,1,6.76
0,164,2,9.32
0,164,3,13.99
0,164,4,15.68
0,164,5,22.03
0,164,6,23.89
0,170,0,4.43
0,170,1,4.89
0,170,2,6.36
0,170,3,9.24
0,170,4,11.05
0,170,5,14.09
0,170,6,16.45
0,211,0,0.88
0,211,1,0.72
0,211,2,1.87
0,211,3,2.85
0,211,4,4.04
0,211,5,6.18
0,211,6,6.38
0,224,0,0.14
0,224,1,0.09
0,224,2,0.16
0,224,3,0.35
0,224,4,0.41
0,224,5,0.91
0,224,6,1.09
0,229,0,2.35
0,229,1,2.57
0,229,2,4.53
0,229,3,5.64
0,229,4,6.52
0,229,5,9.07
0,229,6,10.18
0,233,0,1.4
0,233,1,1.96
0,233,2,2.61
0,233,3,2.87
0,233,4,3.36
0,233,5,5.02
0,233,6,5.27
0,234,0,4.02
0,234,1,5.77
0,234,2,8.98
0,234,3,12.16
0,234,4,14.49
0,234,5,23.65
0,234,6,23.62
0,236,0,1.81
0,236,1,1.71
0,236,2,2.39
0,236,3,2.58
0,236,4,3.62
0,236,5,5.15
0,236,6,6.36
0,237,0,3.53
0,237,1,4.3
0,237,2,6.17
0,237,3,8.36
0,237,4,8.39
0,237,5,10.69
0,237,6,13.6
0,239,0,2.1
0,239,1,2.38
0,239,2,3.09
0,239,3,4.14
0,239,4,4.89
0,239,5,9.88
0,239,6,10.81
0,249,0,9.33
0,249,1,9.08
0,249,2,15.23
0,249,3,21.51
0,249,4,32.34
0,249,5,62.9
0,249,6,58.88
0,263,0,2.29
0,263,1,2.8
0,263,2,3.96
0,263,3,4.28
0,263,4,6.33
0,263,5,11.1
0,263,6,15.41
1,43,0,0.22
1,43,1,0.28
1,43,2,0.39
1,43,3,0.5
1,43,4,0.6
1,43,5,1.2
1,43,6,1.44
1,48,0,6.74
1,48,1,5.47
1,48,2,7.62
1,48,3,9.58
1,48,4,13.35
1,48,5,26.33
1,48,6,31.29
1,68,0,3.6
1,68,1,3.24
1,68,2,3.62
1,68,3,6.04
1,68,4,7.87
1,68,5,15.64
1,68,6,18.52
1,79,0,5.67
1,79,1,4.35
1,79,2,9.26
1,79,3,10.18
1,79,4,19.83
1,79,5,75.97
1,79,6,83.45
1,90,0,2.85
1,90,1,2.5
1,90,2,3.31
1,90,3,4.59
1,90,4,6.15
1,90,5,15.63
