,Brand,Model,FastCharge_miH,Efficiency_Whmi,RapidCharge,Range_Miles,PriceDollar
0,Tesla ,Model 3 Long Range Dual Motor,940.0,161,1,279.61695000000003,59363.600000000006
1,Volkswagen ,ID.3 Pure,250.0,167,1,167.77017,32100.000000000004
2,Polestar ,2,620.0,181,1,248.54840000000002,60390.8
3,BMW ,iX3 ,560.0,206,1,223.69356,72802.8
4,Honda ,e ,190.0,168,1,105.63307,35306.79
5,Lucid ,Air ,620.0,180,1,379.03631,112350.0
6,Volkswagen ,e-Golf ,220.0,168,1,118.06049,34133.0
7,Peugeot ,e-208 ,420.0,164,1,170.877025,31759.74
8,Tesla ,Model 3 Standard Range Plus,650.0,153,1,192.62501,49626.600000000006
9,Audi ,Q4 e-tron ,540.0,193,1,248.54840000000002,58850.0
10,Mercedes ,EQC 400 4MATIC,440.0,216,1,229.90727,74347.88
11,Nissan ,Leaf ,230.0,164,1,136.70162,31280.38
12,Hyundai ,Kona Electric 64 kWh,380.0,160,1,248.54840000000002,43650.65
13,BMW ,i4 ,650.0,178,1,279.61695000000003,69550.0
14,Hyundai ,IONIQ Electric,210.0,153,1,155.34275,36871.130000000005
15,Volkswagen ,ID.3 Pro S,590.0,175,1,273.40324,43801.520000000004
16,Porsche ,Taycan Turbo S,780.0,223,1,233.014125,193435.67
17,Volkswagen ,e-Up! ,170.0,166,1,121.167345,22920.47
18,MG ,ZS EV,260.0,193,1,136.70162,32100.000000000004
19,Mini ,Cooper SE ,260.0,156,1,114.953635,33898.670000000006
20,Opel ,Corsa-e ,420.0,164,1,170.877025,31186.22
21,Tesla ,Model Y Long Range Dual Motor,930.0,171,1,264.082675,62723.4
22,Skoda ,Enyaq iV 50,230.0,179,1,180.19759,37450.0
23,Audi ,e-tron GT ,850.0,197,1,264.082675,133750.0
24,Tesla ,Model 3 Long Range Performance,910.0,167,1,270.296385,65783.6
25,Volkswagen ,ID.4 ,560.0,183,1,260.97582,48150.0
26,Volkswagen ,ID.3 Pro,490.0,166,1,217.47985,35310.0
27,Volvo ,XC40 P8 AWD Recharge,470.0,200,1,233.014125,64667.590000000004
28,BMW ,i3 120 Ah,270.0,161,1,146.022185,40678.19
29,Peugeot ,e-2008 SUV ,380.0,180,1,155.34275,36766.270000000004
30,Audi ,e-tron 50 quattro,450.0,231,1,173.98388,72073.06
31,Kia ,e-Niro 64 kWh,350.0,173,1,229.90727,40772.350000000006
32,Renault ,Zoe ZE50 R110,230.0,165,1,195.731865,33366.880000000005
33,Tesla ,Cybertruck Tri Motor,710.0,267,1,466.02825,80250.0
34,Mazda ,MX-30 ,240.0,178,1,111.84678,34931.22
35,Nissan ,Leaf e+,390.0,172,1,201.945575,39843.590000000004
36,Lexus ,UX 300e,190.0,193,1,167.77017,53500.0
37,CUPRA ,el-Born ,570.0,181,1,264.082675,48150.0
38,Renault ,Zoe ZE50 R135,230.0,168,1,192.62501,35452.310000000005
39,Mercedes ,EQA ,440.0,171,1,217.47985,48150.0
40,Tesla ,Model S Long Range,560.0,184,1,320.006065,85589.3
41,Hyundai ,Kona Electric 39 kWh,210.0,154,1,158.449605,36348.97
42,Audi ,e-tron Sportback 55 quattro,610.0,228,1,236.12098,87353.73000000001
43,Skoda ,CITIGOe iV ,170.0,166,1,121.167345,26251.38
44,SEAT ,Mii Electric ,170.0,166,1,121.167345,21538.030000000002
45,Kia ,e-Soul 64 kWh,340.0,175,1,226.80041500000002,39415.590000000004
46,Opel ,Ampera-e ,210.0,173,1,208.159285,44839.420000000006
47,Porsche ,Taycan 4S,730.0,195,1,226.80041500000002,110151.15000000001
48,Lightyear ,One ,540.0,104,1,357.288325,159430.0
49,Aiways ,U5 ,350.0,188,1,208.159285,38580.990000000005
50,Audi ,e-tron 55 quattro,590.0,237,1,226.80041500000002,85006.15000000001
51,Tesla ,Roadster ,920.0,206,1,602.72987,230050.0
52,Opel ,Mokka-e ,390.0,176,1,158.449605,37450.0
53,Skoda ,Enyaq iV 80,560.0,183,1,260.97582,42800.0
54,Tesla ,Model X Long Range,490.0,211,1,279.61695000000003,92009.3
55,Honda ,e Advance,190.0,168,1,105.63307,38435.47
56,DS ,3 Crossback E-Tense,380.0,180,1,155.34275,40041.54
57,Renault ,Twingo ZE,456.734693877551,164,0,80.77823000000001,26525.300000000003
58,Citroen ,e-C4 ,380.0,180,1,155.34275,42800.0
59,Tesla ,Model S Performance,550.0,188,1,313.792355,103779.3
60,Renault ,Zoe ZE40 R110,230.0,161,1,158.449605,31280.38
61,Tesla ,Model Y Long Range Performance,900.0,177,1,254.76211,70213.40000000001
62,Nissan ,Ariya 87kWh,520.0,198,1,273.40324,53500.0
63,Jaguar ,I-Pace ,340.0,232,1,226.80041500000002,80625.57
64,Ford ,Mustang Mach-E ER RWD,430.0,200,1,279.61695000000003,58288.25
65,Porsche ,Taycan 4S Plus,890.0,197,1,264.082675,116953.14000000001
66,Nissan ,e-NV200 Evalia ,190.0,200,1,118.06049,35573.22
67,Tesla ,Cybertruck Dual Motor,710.0,261,1,285.83066,58850.0
68,Renault ,Kangoo Maxi ZE 33,456.734693877551,194,0,99.41936,40660.0
69,Ford ,Mustang Mach-E ER AWD,410.0,209,1,267.18953,67303.0
70,BMW ,i3s 120 Ah,260.0,165,1,142.91533,44432.82
71,Skoda ,Enyaq iV 80X,540.0,193,1,248.54840000000002,48150.0
72,Porsche ,Taycan Cross Turismo ,770.0,217,1,239.227835,160500.0
73,Byton ,M-Byte 95 kWh 4WD,460.0,244,1,242.33469,68480.0
74,Sono ,Sion ,270.0,156,1,139.80847500000002,27285.0
75,Kia ,e-Niro 39 kWh,230.0,167,1,146.022185,36808.0
76,Audi ,Q4 Sportback e-tron ,550.0,188,1,254.76211,61525.0
77,Smart ,EQ forfour ,456.734693877551,176,0,59.030245,23572.100000000002
78,Ford ,Mustang Mach-E SR AWD,360.0,206,1,211.26614,57780.0
79,Porsche ,Taycan Turbo,810.0,215,1,242.33469,158682.07
80,Volkswagen ,ID.3 1st,470.0,171,1,211.26614,41716.090000000004
81,Tesla ,Model X Performance,480.0,216,1,273.40324,110199.3
82,Smart ,EQ fortwo coupe,456.734693877551,167,0,62.137100000000004,22884.09
83,Ford ,Mustang Mach-E SR RWD,380.0,194,1,223.69356,50183.0
84,Mercedes ,EQV 300 Long,290.0,273,1,205.05243000000002,75575.17
85,Fiat ,500e Hatchback,330.0,168,1,155.34275,37343.0
86,Tesla ,Cybertruck Single Motor,740.0,256,1,242.33469,48150.0
87,Audi ,e-tron Sportback 50 quattro,470.0,219,1,183.30444500000002,74419.57
88,Skoda ,Enyaq iV vRS,540.0,193,1,248.54840000000002,50825.0
89,Skoda ,Enyaq iV 60,440.0,181,1,198.83872,40125.0
90,Audi ,e-tron S 55 quattro,510.0,270,1,198.83872,100366.0
91,Smart ,EQ fortwo cabrio,456.734693877551,176,0,59.030245,26284.550000000003
92,Kia ,e-Soul 64 kWh,320.0,175,1,226.80041500000002,39415.590000000004
93,Nissan ,Ariya e-4ORCE 87kWh,500.0,207,1,260.97582,61525.0
94,Fiat ,500e Convertible,330.0,168,1,155.34275,40553.0
95,Volkswagen ,ID.3 Pro Performance,470.0,171,1,211.26614,38065.25
96,Kia ,e-Soul 39 kWh,220.0,170,1,142.91533,35452.310000000005
97,Byton ,M-Byte 72 kWh 2WD,420.0,222,1,201.945575,57245.0
98,Nissan ,Ariya 63kWh,440.0,191,1,205.05243000000002,48150.0
99,Audi ,e-tron S Sportback 55 quattro,540.0,258,1,208.159285,102773.5
100,Nissan ,Ariya e-4ORCE 63kWh,440.0,194,1,201.945575,53500.0
101,Nissan ,Ariya e-4ORCE 87kWh Performance,450.0,232,1,233.014125,69550.0
102,Byton ,M-Byte 95 kWh 2WD,480.0,238,1,248.54840000000002,66340.0
